,id,title,original_language,release_date,vote_average,popularity,adult
155,297610,Abraham Lincoln Vampire Hunter: The Great Calamity,en,2012-10-23,8.2,4.398,False
156,810693,Jujutsu Kaisen 0,ja,2021-12-24,8.2,81.316,False
157,654299,Out of the Clear Blue Sky,es,2019-12-24,8.2,13.556,False
158,517814,Capernaum,ar,2018-09-20,8.2,20.375,False
159,740937,Simone: Woman of the Century,fr,2021-11-22,8.2,8.381,False
160,399106,Piper,en,2016-06-16,8.2,14.289,False
161,289,Casablanca,en,1942-11-26,8.2,26.893,False
162,475557,Joker,en,2019-10-01,8.2,66.033,False
163,470044,The Hate U Give,en,2018-10-19,8.2,20.416,False
164,398818,Call Me by Your Name,en,2017-09-01,8.2,44.206,False
165,762975,Purple Hearts,en,2022-07-29,8.2,65.551,False
166,664767,Mortal Kombat Legends: Scorpion's Revenge,en,2020-04-12,8.2,1260.158,False
167,68718,Django Unchained,en,2012-12-25,8.2,49.961,False
168,872,Singin' in the Rain,en,1952-04-09,8.2,21.535,False
169,1422,The Departed,en,2006-10-04,8.2,40.01,False
170,111,Scarface,en,1983-12-09,8.2,76.526,False
171,620683,My Mom is a Character 3,pt,2019-12-26,8.2,6.292,False
172,606856,Togo,en,2019-12-20,8.2,21.387,False
173,103,Taxi Driver,en,1976-02-09,8.2,45.719,False
174,406997,Wonder,en,2017-11-13,8.2,31.932,False
175,532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,ja,2019-08-30,8.2,25.637,False
176,508442,Soul,en,2020-12-25,8.2,75.35,False
177,19,Metropolis,de,1927-02-06,8.2,19.821,False
178,600354,The Father,en,2020-12-23,8.2,23.262,False
179,20941,Innocent Voices,es,2005-01-28,8.2,12.714,False
180,705,All About Eve,en,1950-10-06,8.1,16.938,False
181,666,Central Station,pt,1998-11-20,8.1,12.313,False
182,489,Good Will Hunting,en,1997-12-05,8.1,53.69,False
183,20914,My Friends,it,1975-10-24,8.1,7.427,False
184,996,Double Indemnity,en,1944-06-14,8.1,13.959,False
185,614,Wild Strawberries,sv,1957-12-26,8.1,15.388,False
186,92060,Michael Jackson's Thriller,en,1983-11-14,8.1,10.834,False
187,348,Alien,en,1979-05-25,8.1,66.18,False
188,55823,The Great War,it,1959-10-28,8.1,8.959,False
189,439,La Dolce Vita,it,1960-02-05,8.1,19.849,False
190,600,Full Metal Jacket,en,1987-06-26,8.1,40.265,False
191,500,Reservoir Dogs,en,1992-09-02,8.1,29.551,False
192,11878,Yojimbo,ja,1961-04-25,8.1,19.363,False
193,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,en,1964-01-29,8.1,24.146,False
194,550776,Believe Me: The Abduction of Lisa McVey,en,2021-06-01,8.1,19.472,False
195,640344,Me Against You: Mr. S's Vendetta,it,2020-01-17,8.1,6.22,False
196,37165,The Truman Show,en,1998-06-04,8.1,60.619,False
197,100,"Lock, Stock and Two Smoking Barrels",en,1998-08-28,8.1,8.879,False
198,831827,Far from the Tree,en,2021-11-24,8.1,16.147,False
199,3780,Red Beard,ja,1965-04-03,8.1,12.619,False
200,548,Rashomon,ja,1950-08-26,8.1,15.419,False
201,400608,Bo Burnham: Make Happy,en,2016-06-03,8.1,9.053,False
202,347688,Scooby-Doo! and KISS: Rock and Roll Mystery,en,2015-07-10,8.1,16.717,False
203,21634,Prayers for Bobby,en,2009-01-24,8.1,12.54,False
204,411088,The Invisible Guest,es,2017-01-06,8.1,31.932,False
205,9702,Bound by Honor,en,1993-02-05,8.1,42.913,False
206,472454,Ayla: The Daughter of War,tr,2017-10-27,8.1,11.548,False
207,992,Sherlock Jr.,en,1924-04-17,8.1,11.559,False
208,895,Andrei Rublev,ru,1966-12-16,8.1,14.47,False
209,239,Some Like It Hot,en,1959-03-19,8.1,37.223,False
210,526702,Black Beauty,en,2020-11-27,8.1,15.383,False
211,843,In the Mood for Love,cn,2000-09-29,8.1,24.758,False
212,81481,Silenced,ko,2011-09-22,8.1,19.181,False
213,24382,Big Deal on Madonna Street,it,1958-07-26,8.1,11.671,False
214,149871,The Tale of The Princess Kaguya,ja,2013-11-23,8.1,22.119,False
215,12445,Harry Potter and the Deathly Hallows: Part 2,en,2011-07-07,8.1,124.65,False
216,38288,I corti,it,1996-03-29,8.1,4.193,False
217,397567,Along with the Gods: The Two Worlds,ko,2017-12-14,8.1,32.208,False
218,832,M,de,1931-05-11,8.1,14.83,False
219,17663,Anne of Green Gables,en,1985-12-01,8.1,15.453,False
220,458220,Palmer,en,2021-01-29,8.1,116.457,False
221,38,Eternal Sunshine of the Spotless Mind,en,2004-03-19,8.1,39.3,False
222,46738,Incendies,fr,2010-09-04,8.1,18.883,False
223,280,Terminator 2: Judgment Day,en,1991-07-03,8.1,87.102,False
224,655,"Paris, Texas",en,1984-08-23,8.1,16.336,False
225,103663,The Hunt,da,2012-10-25,8.1,19.466,False
226,571265,Digimon Adventure: Last Evolution Kizuna,ja,2020-02-21,8.1,18.803,False
227,7345,There Will Be Blood,en,2007-12-26,8.1,35.044,False
228,638507,How to Train Your Dragon: Homecoming,en,2019-10-25,8.1,41.623,False
229,359940,"Three Billboards Outside Ebbing, Missouri",en,2017-12-01,8.1,19.497,False
230,146233,Prisoners,en,2013-09-18,8.1,40.302,False
231,334543,Lion,en,2016-11-24,8.1,18.526,False
232,406,La Haine,fr,1995-05-31,8.1,21.626,False
233,62,2001: A Space Odyssey,en,1968-04-02,8.1,44.045,False
234,4348,Pride & Prejudice,en,2005-09-16,8.1,53.803,False
235,387,Das Boot,de,1981-09-17,8.1,22.932,False
236,8422,Rocco and His Brothers,it,1960-10-06,8.1,10.78,False
237,10681,WALL·E,en,2008-06-22,8.1,61.854,False
238,529531,Hannah Gadsby: Nanette,en,2018-06-19,8.1,6.119,False
239,11645,Ran,ja,1985-06-01,8.1,17.74,False
240,147,The 400 Blows,fr,1959-06-03,8.1,14.26,False
241,678580,El mesero,es,2021-07-15,8.1,11.941,False
242,118662,Decalogue I,pl,1989-09-05,8.1,4.124,False
243,8392,My Neighbor Totoro,ja,1988-04-16,8.1,52.544,False
244,610461,"Veinteañera, Divorciada y Fantástica",es,2020-02-14,8.1,6.37,False
245,337404,Cruella,en,2021-05-26,8.1,97.808,False
246,893941,Misfit,es,2021-10-14,8.1,6.202,False
247,42229,A Special Day,it,1977-08-11,8.1,9.022,False
248,11423,Memories of Murder,ko,2003-05-02,8.1,26.292,False
249,7347,Elite Squad,pt,2007-10-12,8.1,24.638,False
250,437068,A Taxi Driver,ko,2017-08-02,8.1,17.08,False
251,381284,Hidden Figures,en,2016-12-10,8.1,82.746,False
252,11659,The Best of Youth,it,2003-06-22,8.1,11.896,False
253,1955,The Elephant Man,en,1980-10-09,8.1,19.681,False
254,663558,New Gods: Nezha Reborn,zh,2021-02-06,8.1,26.477,False
255,55960,"Toto, Peppino, and the Hussy",it,1956-08-23,8.1,8.303,False
256,447365,Guardians of the Galaxy Vol. 3,en,2023-05-03,8.1,876.042,False
257,538362,On My Skin,it,2018-09-12,8.1,10.736,False
258,120467,The Grand Budapest Hotel,en,2014-02-26,8.1,34.122,False
259,800,The Young and the Damned,es,1950-12-09,8.1,8.799,False
260,821,Judgment at Nuremberg,en,1961-12-18,8.1,17.715,False
261,515001,Jojo Rabbit,en,2019-10-18,8.0,36.641,False
262,26022,My Name Is Khan,hi,2010-02-10,8.0,21.23,False
263,449176,"Love, Simon",en,2018-02-16,8.0,16.679,False
264,400928,Gifted,en,2017-04-12,8.0,120.925,False
265,51482,Death Note Relight 1: Visions of a God,ja,2007-08-31,8.0,23.897,False
266,5801,Pather Panchali,bn,1955-08-26,8.0,13.876,False
267,574074,Kitbull,en,2019-01-18,8.0,11.492,False
268,780,The Passion of Joan of Arc,fr,1928-04-21,8.0,16.666,False
269,310569,The Second Mother,pt,2015-06-04,8.0,8.781,False
270,785534,Paper Lives,tr,2021-03-12,8.0,13.282,False
271,282848,Doctor Who: The Time of the Doctor,en,2013-12-25,8.0,5.932,False
272,582,The Lives of Others,de,2006-03-15,8.0,17.356,False
273,279,Amadeus,en,1984-09-19,8.0,23.596,False
274,9764,Dersu Uzala,ru,1975-08-02,8.0,15.271,False
275,1091,The Thing,en,1982-06-25,8.0,41.966,False
276,106646,The Wolf of Wall Street,en,2013-12-25,8.0,96.253,False
277,20530,Late Spring,ja,1949-09-13,8.0,9.783,False
278,522518,A Dog's Journey,en,2019-05-03,8.0,28.879,False
279,264644,Room,en,2015-10-16,8.0,16.27,False
280,615457,Nobody,en,2021-03-18,8.0,71.528,False
281,339877,Loving Vincent,en,2017-06-22,8.0,15.807,False
282,19426,Nights of Cabiria,it,1957-10-03,8.0,13.273,False
283,641,Requiem for a Dream,en,2000-10-06,8.0,11.035,False
284,31217,The Human Condition I: No Greater Love,ja,1959-01-15,8.0,6.958,False
285,14,American Beauty,en,1999-09-15,8.0,35.238,False
286,37793,Ghosts,en,1997-09-04,8.0,7.889,False
287,521,Dial M for Murder,en,1954-05-29,8.0,21.794,False
288,962,The Gold Rush,en,1925-07-12,8.0,13.214,False
289,429210,Bingo: The King of the Mornings,pt,2017-08-24,8.0,9.558,False
290,378108,In This Corner of the World,ja,2016-11-12,8.0,15.418,False
291,204,The Wages of Fear,fr,1953-04-22,8.0,12.402,False
292,9277,The Sting,en,1973-12-25,8.0,15.71,False
293,673,Harry Potter and the Prisoner of Azkaban,en,2004-05-31,8.0,134.678,False
294,938,For a Few Dollars More,it,1965-12-18,8.0,27.71,False
295,455661,In a Heartbeat,en,2017-06-01,8.0,7.552,False
296,19542,The Red Shoes,en,1948-09-06,8.0,12.3,False
297,1396,Mirror,ru,1975-03-07,8.0,18.897,False
298,115929,Cool Kids Don't Cry,nl,2012-02-15,8.0,8.099,False
299,28978,The Circus,en,1928-01-06,8.0,11.631,False
300,307,"Rome, Open City",it,1945-10-08,8.0,11.3,False
